id,image,resize_url,label,score,label_topicality,best_guess_label_score,correct_label,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,fried food,0.892298937,0.892298937,1,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,dish,0.792126358,0.792126358,0.14,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,cuisine,0.756785989,0.756785989,0.24,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,fish stick,0.744894028,0.744894028,0.3,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,vegetarian food,0.73806715,0.73806715,0.56,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,deep frying,0.776750565,0.733995616,0.29,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,snack,0.674576998,0.674576998,0,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,side dish,0.655357182,0.655357182,0.42,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,frying,0.889299989,0.607372582,0.38,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,food,0.6021685,0.6021685,0.57,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,pakora,0.816645205,0.597763956,0.12,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,potato wedges,0.709638774,0.584715009,0.26,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,appetizer,0.572896898,0.572896898,0.21,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,youtiao,0.577261627,0.537908018,0.24,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,pisang goreng,1.6425879,N/A,0.26,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,vegetarian cuisine,0.827990651,N/A,0.21,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,french fries,0.774599969,N/A,0.45,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,fish finger,0.645444512,N/A,0.38,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,hors d'oeuvre,0.599300027,N/A,0.26,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,la quinta inns & suites,0.333799988,N/A,0.12,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,,0.333799988,N/A,0,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,banaani,0.329299986,N/A,0.12,baby corn fry,
1,http://storage.googleapis.com/gtpictures/personal_images_raw/baby%20corn%20fry.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_1.jpg,solanum tuberosum,0.317400008,N/A,0.15,baby corn fry,
2,http://storage.googleapis.com/gtpictures/personal_images_raw/bisibela%20bath.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_2.jpg,dish,0.93603909,0.93603909,0,bisi bele bath,
2,http://storage.googleapis.com/gtpictures/personal_images_raw/bisibela%20bath.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_2.jpg,food,0.781202614,0.781202614,0,bisi bele bath,
2,http://storage.googleapis.com/gtpictures/personal_images_raw/bisibela%20bath.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_2.jpg,cuisine,0.756219804,0.756219804,0.33,bisi bele bath,
2,http://storage.googleapis.com/gtpictures/personal_images_raw/bisibela%20bath.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_2.jpg,curry,0.670543551,0.670543551,1,bisi bele bath,
2,http://storage.googleapis.com/gtpictures/personal_images_raw/bisibela%20bath.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_2.jpg,vegetarian food,0.614781857,0.614781857,0.1,bisi bele bath,
2,http://storage.googleapis.com/gtpictures/personal_images_raw/bisibela%20bath.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_2.jpg,indian cuisine,0.903518081,0.597940803,0.21,bisi bele bath,
2,http://storage.googleapis.com/gtpictures/personal_images_raw/bisibela%20bath.jpg,https://storage.googleapis.com/gtpictures/images/google_vision_api_image_food_2.jpg,recipe,0.611337125,0.559912503,0.18,bisi bele bath,
